sac Apa
taro Apā
Cuisse Ntā
Abces Ambá
clou mbaŋa
arachide Mbyaŋ
Forêt Mbiŋ
Noeud Lecūŋ
chapeau Acɔʼ
regarder Ńcʉ̄
blindage Acɔp
Marigot Ndu
bambou Ndeŋ
Grelot Ndɛ
Oiseau Séŋ
Boeuf Efɔŋ
mechanceté Esɔ̄
venin Eseŋ
Coeur Atə/ate
Sein Lepə/lepe
Fouet Ntɛ̄
mortier Ŋkɛt
vent Fefwɛt
tornade afem
Épervier Gó
Papillon Gégá
Criquet Ŋgím
Hameçon Hɔ́ɔk
Tête Athu
Bâton Athʉ́
Chemin Nzhɛ
Étagère Azi
Grenier Ŋkiŋ
Foie Lepi
Balai Ajɔk
Voir Ńjʉ́ɔ
Échelle Ekɔ̄ʼ
Tasse kúp
Canari Ŋkāŋ
Os Akwɛ́
Charge Apiʼ
Boîte Atūʼ
Coussin Lepāʼ
Neuf Levuʼɔ́
Langue Alē
Cuillère Lelūʼ
Chaussure Aláŋ
Enfant Mɔ́
Feu Mmók
Viande Mbap
Soleil Nu
Serpent Nnū
Trompette Ntaŋ
Boîter Ŋ́ŋíʼ
Courber Ŋ́ŋɔ́ʼɔ
Rouge Paŋ
Tomber Ŋ́ŋém
Pont Ntō
Pilon Atsōʼ
Mari Ndō
Sommet Ndo
Pierre Tɔ́
Chanson Azɔp
Melon Lepɔʼ
Chanter Ńzɔ̄p
Couteau Puʼ
Aille Lepap
Main Apū
Trou Lephʉ̄
fourmilière lepfho
Mortier Lepfoʼ
Manger Ḿpfɛ́t
Oiseau Séŋ
Désirer Ésé
Houe Ashū
Éléphant Eshʉ̄ɔ
Sarcler Éshú
Castrer Éshʉ́
Chapeau Téŋ
Tam-tam Atɔ̄
Fouet Ntɛ̄
Boyaux Metū
Pilon Atsōʼ
Perdrix Tsɔ́ʼ
Cheveux Ntsɔʼ
Torrent Atsyɛt
Calebasse Ntūʼ
Panier Túŋ
Cotisation Ncup
Pistache Njʉʼ
Calebasse Atʉ̄ɔ
Force Mbʉʼ
Marmite Lekʉŋ
Ventre Levem
Oiseau Vok
Grêle Mewɛ
Aboyer Lewūp
Deuil Lewhʉ̄
Termite ayíŋ
Donner Leyā
entonnoir Azyɛ̄t
Nez Lezhō
Panthère Nzwi
Femme Menzwí
un womɔ'ɔ
deux mɛ́ḿpīā
trois métɛ́t
quatre lekua
cinq lefaá
six ntokó
sept saambīā
huit lefá
Neuf livo’ɔ́
dix legēmmoi me'e
moi me'e
